Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Order,Product Image,Multi Image,Brand,List,Pros,Cons,Material,Softness,Price,Breathability,Thread count,Durability,Customer reviews,Size options,Care instructions,Color/pattern options,Weave type,Hypoallergenic properties,Eco friendliness,Warranty/return policy,Brand reputation,Total score,Popularity (sub score),Brand Reputation (sub score),Overall Value (sub score),Luxury (sub score),is_amazon,Description,promotion_code,promotion,exact_price,Affiliate url (web),Amazon affiliate url,Size,Amazon Affiliate url - mobile,Amazon Affiliate url - desktop,URL sanity,affiliation check
Breathable Fleece Fitted Sheet,breathable-fleece-fitted-sheet,6694b4a02ed4cdd356d1fd3c,66731949b7eeafbfe3fa8c36,673cd05cff128d5c2fd6f1cd,TRUE,TRUE,Tue Nov 19 2024 17:52:28 GMT+0000 (Coordinated Universal Time),Thu Nov 28 2024 13:20:28 GMT+0000 (Coordinated Universal Time),,,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/67480468b9cd09200f574071_673ccf21728471251edf969e_91HXIzW0rCL._AC_SL1500%2520(1).jpeg,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/67480469b9cd09200f57407e_673ccf3ae8348aa6b2cba5f3_71jBwIq7mjL._AC_SL1500.webp; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/67480469b9cd09200f57408e_673ccf3cb6aa2fa78294640b_91xPJozYkxL._AC_SL1500.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/67480469b9cd09200f57408a_673ccf3e78c063f732df5891_91D3qMlgAAL._AC_SL1500.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/67480469b9cd09200f574087_673ccf3f6966210fd3e998da_91CQ66F_8fL._AC_SL1500.jpeg,bedsure,fitted; cold-sleepers,"Breathable fleece, likely warm and cozy",Potential pilling over time,Fleece,Very High,$29-$36,Good,Not applicable,Moderate,4.2/5,"Twin, Full, Queen, King","Machine washable, tumble dry low",3,Fleece,Not specified,Low to Moderate,30-day return policy,Good,7,6,8,7,7,FALSE,"Warm, breathable fleece fitted sheet for cozy nights",HOMEPRINCIPLES,for 20% off,32,https://bedsurehome.com/products/bedsure-breathable-fleece-fitted-sheet?ref=hp20&utm_source=GO&variant=42152560918630,,,,,,
Breescape Cooling Sheets for Hot Sleepers and Night Sweats,breescape-cooling-sheets-for-hot-sleepers-and-night-sweats,6694b4a02ed4cdd356d1fd3c,66731949b7eeafbfe3fa8c36,673c6d18e5bc8006c6529653,FALSE,TRUE,Tue Nov 19 2024 10:48:56 GMT+0000 (Coordinated Universal Time),Thu Nov 28 2024 13:20:31 GMT+0000 (Coordinated Universal Time),,,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8c5ae4c5acf8878e8c_673c6cb0a2cebb66be0f1735_1_13a408e3-8fb2-4ce9-9112-a91252ebc365.webp,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8c5ae4c5acf8878e91_673c69d3f537039e72758ccd_2_5e8b0375-566a-4810-84d6-5ba501c6deef.avif; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8c5ae4c5acf8878e9a_673c69dacfc52afb45cfc630_3_be0e1009-e614-488a-91e8-c2bf0afa5d18.avif; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8c5ae4c5acf8878e97_673c69defe10be4f0a12997b_4_64c23758-ff87-4c95-8563-53a21a654948.avif; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8c5ae4c5acf8878e94_673c69ebcfc52afb45cfe19f_5_a99392d6-9c4c-4578-a78f-01fcd7dfeb56.avif,bedsure,hot-sleepers,"Cooling properties, suitable for hot sleepers",Specific material composition not provided,Not specified,Medium-High,$110-$137,Excellent,Not specified,Moderate,4.8/5,"Twin, Full, Queen, King","Machine wash in cold water, tumble dry on low heat",3,Not specified,Not specified,Moderate,30-day return policy,Good,8,8,8,8,8,FALSE,Comfortable cooling sheets for hot sleepers,HOMEPRINCIPLES,for 20% off,110,https://bedsurehome.com/products/bedsure-breescape-cooling-sheets-for-hot-sleepers-and-night-sweats?ref=hp20&utm_source=GO&variant=40874210426982,,,,,,
Brushed Cotton Sheet Set,brushed-cotton-sheet-set,6694b4a02ed4cdd356d1fd3c,66731949b7eeafbfe3fa8c36,673f44822e024ab3a2fa5279,FALSE,TRUE,Thu Nov 21 2024 14:32:34 GMT+0000 (Coordinated Universal Time),Thu Dec 05 2024 11:04:13 GMT+0000 (Coordinated Universal Time),Sun Dec 08 2024 13:58:09 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/67480466d33f606f35b9f294_673f433d0ab0f6f484da3952_Lifestylecharcoal-1.webp,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/67480466d33f606f35b9f297_673f433684cf85d58f92d883_Lifestyletruenavy-2.webp; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/67480466d33f606f35b9f286_673f4338c966d058185d9727_IDcharcoal-1.webp; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/67480466d33f606f35b9f2a4_673f435daa14aa18093b3807_Lifestylecharcoal.webp; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/67480466d33f606f35b9f29a_673f43cdc4d7772bdfa7b919_Lifestyletruenavy-1.webp,riley-home,flannel; cold-sleepers; soft,"Soft texture, comfortable, muted neutral colors","Potential pilling issues, durability concerns",Cotton,Very High,$104.40 – $212.40,Good,Not specified,Moderate,4.2/5,"Twin, Twin XL, Full, Queen, King, Cal King","Machine wash cold on gentle cycle with similar colors, using a mild detergent.",2,Brushed,Not specified,Moderate,30-day return policy,Very good,8.6,7,9,8,8,FALSE,"Soft, cozy brushed cotton sheets with neutral colors",,,115,https://shareasale.com/r.cfm?b=1213612&u=4360840&m=81199&urllink=rileyhome%2Ecom%2Fproduct%2Fbrushed%2Dcotton%2Dsheet%2Dset%2F&afftrack=,,,,,,
Brushed Flannel Core Sheet Set,brushed-flannel-core-sheet-set,6694b4a02ed4cdd356d1fd3c,66731949b7eeafbfe3fa8c36,673f1af5882e8f484968df48,FALSE,TRUE,Thu Nov 21 2024 11:35:17 GMT+0000 (Coordinated Universal Time),Fri Dec 13 2024 11:05:52 GMT+0000 (Coordinated Universal Time),Fri Dec 13 2024 11:05:52 GMT+0000 (Coordinated Universal Time),0,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748046768e9755d6d6fc9ce_673f1ae161b679f085c15aba_BKL_23-09_FallCollection_Flannel_Shot22_0622x_WO_8e8fefed-8727-4a2f-b0c1-98e071e54df4_768x.webp,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748046768e9755d6d6fc9d7_673f1ae7324b9b40b7ebfb08_BKL_23-09_FallCollection_Flannel_Shot25_0664x_WO_838ceb2a-8ca8-4724-a779-c15f8b0732a8_768x.webp; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748046768e9755d6d6fc9dd_673f1aebd1da9f335b3fce86_BKL_23-07_Bedding_Flannel_MidnightSpeckle_Detail_1x_WOgrey_768x.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748046768e9755d6d6fc9cb_673f1aeebefe74394a355aea_BKL_23-07_Bedding_Flannel_MidnightSpeckle_COR_1x_WOgrey_768x.webp,brooklinen,flannel; cold-sleepers,"Warm, cozy, soft texture, great for cold nights","May be too warm for hot sleepers, potential pilling",Cotton Flannel,Very High,$135-$195,Good,Not specified,Good,4.4/5,"Twin, Twin XL, Full, Queen, King, Cal King","Machine wash cold, tumble dry low",2/4,Flannel,Not specified,Moderate,365-day return policy,Excellent,8.8,8,9,8,7,FALSE,"Warm, cozy flannel sheets for winter comfort",,,172,https://brooklinen.pxf.io/7a5ej5,,,,,,
Brushed Microfiber Duvet Cover Sets with Fitted Sheet,brushed-microfiber-duvet-cover-sets-with-fitted-sheet,6694b4a02ed4cdd356d1fd3c,66731949b7eeafbfe3fa8c36,673cce983c001d3d3874e823,TRUE,TRUE,Tue Nov 19 2024 17:44:56 GMT+0000 (Coordinated Universal Time),Thu Nov 28 2024 13:20:28 GMT+0000 (Coordinated Universal Time),,,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748046975dd9531e9564737_673ccd978fec5412575b984d_81QAawmXGpL._AC_SX679_b8cdbeb8-e540-4e35-86de-569e882308b4.jpeg,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748046975dd9531e9564734_673ccdb36cd08f75ce2edb87_81Z6vvPOd0L._AC_SL1500_fc45e055-546c-4f1b-927e-3912670367da.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748046875dd9531e9564722_673ccdb4647ffd396a3e9b18_91vhnHpmzGL._AC_SX679.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748046975dd9531e956473b_673ccdb6647ffd396a3e9cbc_91zAZYERqFL._AC_SX679.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748046875dd9531e9564726_673ccdb8647ffd396a3e9f04_81cKivsYilL._AC_SX679.jpeg,bedsure,affordable; fitted,"Affordable, soft microfiber, includes fitted sheet","May not be as breathable as natural fibers, potential static buildup",Microfiber,Medium-High,$33-$56,Good,Not specified,Moderate,3.8/5,"Twin, Full, Queen, King","Machine wash cold, tumble dry low",10,Brushed,Not specified,Low to Moderate,30-day return policy,6,6.5,7,8,6,5,FALSE,Soft microfiber duvet cover set with fitted sheet,HOMEPRINCIPLES,for 20% off,41,https://bedsurehome.com/products/brushed-microfiber-duvet-cover-sets-with-fitted-sheet?ref=hp20&utm_source=GO&variant=42077076160614,,,,,,
Cationic Dyed Bed Sheet Set,cationic-dyed-bed-sheet-set,6694b4a02ed4cdd356d1fd3c,66731949b7eeafbfe3fa8c36,673ca7269cdb87ce301be132,TRUE,TRUE,Tue Nov 19 2024 14:56:38 GMT+0000 (Coordinated Universal Time),Thu Nov 28 2024 13:20:30 GMT+0000 (Coordinated Universal Time),,,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748046bc84a1e51556e6c56_673ca4f204abda77acb59d2c_16inchFullPink-07%2520(1).jpeg,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748046bc84a1e51556e6c3f_673ca51944e74caa23fe5f06_16inchFullWarmTaupe-04.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748046bc84a1e51556e6c53_673ca51b95f9be64167ec6b1_16inchFullWarmTaupe-03.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748046bc84a1e51556e6c47_673ca51ca3da6066a0d311b6_16inchFullWarmTaupe-02.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748046bc84a1e51556e6c44_673ca51ff5852577ce319ccb_16inchFullPink-08.jpeg,bedsure,affordable; bed-sheets,"Affordable, prevents hair entanglement, soft texture",Casual look,Microfiber,Medium-High,$26-$41,Good,Not specified,Moderate,4.3/5,"Twin, Twin XL, Full, Queen, King, California King",Machine wash separately in cold water,9,Not specified,Not specified,Low to Moderate,30-day return policy,Good,7.5,7,8,8,7,FALSE,Affordable microfiber sheets,HOMEPRINCIPLES,for 20% off,53,https://bedsurehome.com/products/cationic-dyed-bed-sheet-set?ref=hp20&utm_source=GO&variant=40792067866726,,,,,,
Classic Percale Core Sheet Set,classic-percale-core-sheet-set,6694b4a02ed4cdd356d1fd3c,66731949b7eeafbfe3fa8c36,673f069d26082d0b87a02067,FALSE,TRUE,Thu Nov 21 2024 10:08:29 GMT+0000 (Coordinated Universal Time),Thu Nov 28 2024 13:20:27 GMT+0000 (Coordinated Universal Time),Thu Nov 28 2024 13:20:50 GMT+0000 (Coordinated Universal Time),0,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748046875dd9531e95646a7_673f05995d7ce0131fab2ec5_BKL_24-06_Bedding_Classic_Driftwood_Straight_1x_PDP_WO_768x%2520(1).jpeg,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748046875dd9531e95646ad_673f03f3d067af304a757c97_BKL_24-06_Bedding_Classic_Driftwood_COR_1x_WOgrey_768x.webp; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748046875dd9531e95646a4_673f0559f56e785e933b9c4e_BKL_24-06_Bedding_Classic_Driftwood_Overhead_1x_PDP_WO_768x.webp; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748046875dd9531e9564697_673f03dcafe4cca46f0349ee_BKL_24-06_JulyMidAugCampaign_August_Look6_Shot1_1721xx_PDP_WO_768x.webp; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748046875dd9531e956469a_673f03d89149447b0009d279_BKL_24-06_JulyMidAugCampaign_August_Look6_Shot1_1500xx_PDP_WO_768x.webp; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748046875dd9531e95646aa_673f03cf89bfcab42f9c3d86_Essential_Classic_Colors_9-3_1600_768x.webp,brooklinen,percale; fitted,"Affordable luxury, high-quality cotton, versatile",Potential wrinkling,Cotton,Medium-High,$105-$165,Very Good,270,Good,4.4/5,"Twin, Twin XL, Full, Queen, King, Cal King","Machine wash cold, tumble dry low",12/7,Percale,Yes,Moderate,365-day return policy,Excellent,8.6,9,9,8,8,FALSE,Classic cotton sheets with crisp,,,135,https://brooklinen.pxf.io/xLkE4R?subId1=,,,,,,
Coop Home Goods Comphy SoftSpa Bed Sheet,coop-home-goods-comphy-softspa-bed-sheet,6694b4a02ed4cdd356d1fd3c,66731949b7eeafbfe3fa8c36,68b8196e8838c42e15f473b8,FALSE,FALSE,Wed Sep 03 2025 10:33:18 GMT+0000 (Coordinated Universal Time),Wed Sep 03 2025 10:52:13 GMT+0000 (Coordinated Universal Time),Wed Sep 03 2025 10:52:13 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/68b81a373da6d01a5c189806_Screenshot%202025-09-03%20at%2013.36.02.png,,,affordable; bed-sheets; queen-size-on-amazon; king-size-on-amazon,,,SoftPhiber,,143,,,,4.3,,,,,,,,,10,10,10,10,,TRUE,,,,,,https://www.amazon.com/dp/B0CL1HNC8Z,,,,,
Cotton Flannel Queen Bed Sheets Set,cotton-flannel-queen-bed-sheets-set,6694b4a02ed4cdd356d1fd3c,66731949b7eeafbfe3fa8c36,674595d594e1304113ccf056,TRUE,TRUE,Tue Nov 26 2024 09:33:09 GMT+0000 (Coordinated Universal Time),Fri Dec 13 2024 15:16:59 GMT+0000 (Coordinated Universal Time),Fri Dec 13 2024 15:16:59 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/674804643caf19634fea2a9f_6745959ae1fb815b22fc1548_9165Y%252BsA4yL._AC_SX679_.jpeg,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/674804643caf19634fea2aae_674595905e7e852ef823b06b_A1xP1dDdtrL._AC_SX679_.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/674804643caf19634fea2ab2_6745959305b555bdd01229a1_A1hZw5raIfL._AC_SX679_.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/674804643caf19634fea2aa5_67459595ad0c5ee50bda5986_91-lI40AVOL._AC_SX679_.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/674804643caf19634fea2aa2_67459596e7b425208dc50276_918jUKbr99L._AC_SX679_.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/674804643caf19634fea2ab5_67459598a74d9e008522bb02_A1JjXnlJ1iL._AC_SX679_.jpeg,lane-linen,best-on-amazon; cotton-on-amazon; flannel; cold-sleepers,"Ultra luxurious, Smooth finish, wide selection","Quality may vary, potential durability issues",Cotton,Very High,$26 - $36,Very Good,Not specified,Moderate,4.1/5,"Twin, Twin XL, Full, Queen, King, California King",Machine washable,20,Flannel,No,Low to Moderate,30-day return policy,Very Good,8,8.5,8,8,7,TRUE,Affordable flannel sheets with various color options,HOMEPRINCIPLES,for 20% off,36,,https://amazon.com/dp/B09F72B2SF?maas=maas_adg_api_577077718891125367_static_9_129&ref_=aa_maas&tag=homeprinciple-20&aa_campaignid=lv_glXtTQcQRmKtrVDO3n&aa_adgroupid=lv_KyBzuCfJlk2sWGXcsu&aa_creativeid=lv_a2QbK52QTTjpQhXwxQ&m=A1I4V640HSOLK3,Queen,https://amazon.com/dp/B09F71XTZ3?maas=maas_adg_api_577077718891125367_static_9_129&ref_=aa_maas&tag=homeprinciple-20&aa_campaignid=lv_OJHM7srAAjZte10wOp&aa_adgroupid=lv_w7BgQIoeyAJpD1ZZvi&aa_creativeid=lv_48J2OUJ9vcDWDDJFZh&m=A1I4V640HSOLK3,https://amazon.com/dp/B09F71XTZ3?maas=maas_adg_api_577077718891125367_static_9_129&ref_=aa_maas&tag=homeprinciple-20&aa_campaignid=lv_OJHM7srAAjZte10wOp&aa_adgroupid=lv_IirEGt2GqVYiB8zOiP&aa_creativeid=lv_4kXmmsY9aWC0KuwamG&m=A1I4V640HSOLK3,,
Cotton Sateen Weave Sheet Set,cotton-sateen-weave-sheet-set,6694b4a02ed4cdd356d1fd3c,66731949b7eeafbfe3fa8c36,673cc642faf3b8fe4fe08261,TRUE,TRUE,Tue Nov 19 2024 17:09:22 GMT+0000 (Coordinated Universal Time),Thu Nov 28 2024 13:20:29 GMT+0000 (Coordinated Universal Time),,,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748046aef5f6c5702b706e2_673cc5090ea828a51d2f7dca_81GCxlRGsxL._AC_SL1500.jpeg,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748046aef5f6c5702b706d2_673cc52b154264d845fea806_71HBZonK-EL._AC_SL1500.webp; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748046aef5f6c5702b706d8_673cc52c154264d845fea913_81vwkXS7EgL._AC_SL1500.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748046aef5f6c5702b706db_673cc52ff3fa4374d2cc75fb_819d8W85N-L._AC_SL1500.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748046aef5f6c5702b706e6_673cc5303414acd9052520f8_811s8QOBqdL._AC_SL1500.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/6748046aef5f6c5702b706de_673cc5323c35a887f3b5b770_81D6xxlpSRL._AC_SL1500.jpeg,bedsure,cotton; fitted,"Soft sateen weave, smooth texture, classic cotton material","May wrinkle easily, potential slight sheen",Cotton,High,$69-$81,Good,300,Good,4/5,"Queen, King","Machine wash cold, tumble dry low",4,Sateen,Not specified,Moderate,30-day return policy,Good,7.5,7,8,8,7,FALSE,Soft cotton sateen sheets with smooth finish,HOMEPRINCIPLES,for 20% off,69,https://bedsurehome.com/products/cotton-sateen-weave-sheet-set?ref=hp20&utm_source=GO&variant=41808445046886,,,,,,
"Deep Pockets 18"" Eco Friendly Wrinkle Free Cooling Bed Sheets",deep-pockets-18-eco-friendly-wrinkle-free-cooling-bed-sheets,6694b4a02ed4cdd356d1fd3c,66731949b7eeafbfe3fa8c36,6745d273ee9e24e72804eef9,TRUE,TRUE,Tue Nov 26 2024 13:51:47 GMT+0000 (Coordinated Universal Time),Fri Dec 13 2024 10:27:31 GMT+0000 (Coordinated Universal Time),Fri Dec 13 2024 10:27:31 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/67480464d33f606f35b9f185_6745d0952062dbe4bc1ef062_71KU5NPMWSL._AC_SX679_.jpeg,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/67480464d33f606f35b9f188_6745d08c7d1031feef24d64f_71XNjFYCd3L._AC_SX679_.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/67480464d33f606f35b9f16d_6745d08e3d88739720dcf32a_61PhnGyXBJL._AC_SX679_.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/67480464d33f606f35b9f17d_6745d0904e3de47b1d16ad22_712i1cPMuCL._AC_SX679_.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/67480464d33f606f35b9f174_6745d09145fe507eee66d313_61TKRceqzqL._AC_SX679_.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/67480464d33f606f35b9f178_6745d09337cc0ef152f11340_41oGfjo3gDL._AC_SX679_.jpeg,lux-club,fitted-on-amazon; cooling-on-amazon; egyptian-cotton; deep-pocket; hot-sleepers,"Affordable, cooling and breathable, deep pockets",Quality may vary,"Egyptian cotton, Polyester",High,$22-$42,Very Good,Not specified,Good,4.4/5,"Twin, Twin XL, Full, Queen, King, Cal king, Split King",Machine washable,32/5,Not specified,Not specified,High,30-day return policy,Good,8,8,8,9,7,FALSE,Cooling wrinkle Free sheets with deep pockets,,,28,http://hlink.to/bWS6Hk03sQn,,Queen,,,,
DreamChill Cooling Bamboo Sheets for Hot Sleepers,dreamchill-cooling-bamboo-sheets-for-hot-sleepers,6694b4a02ed4cdd356d1fd3c,66731949b7eeafbfe3fa8c36,672f104de0e15c7419cea57f,FALSE,FALSE,Sat Nov 09 2024 07:33:33 GMT+0000 (Coordinated Universal Time),Thu Dec 05 2024 11:16:38 GMT+0000 (Coordinated Universal Time),Sun Dec 08 2024 13:58:09 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8d578bd376655789c3_672f1450c4a21d1a5d971763_DreamFit%2520Cooling%2520Bamboo%2520Sheets%2520King.jpeg,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8d578bd376655789e1_672f14506e7065c24981afc7_DreamFit%2520Cooling%2520Sheets%2520King%2520Set.jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8e578bd376655789ef_672f144ff2ccf24b52cee247_DreamFit%2520Cooling%2520Bamboo%2520Sheets%2520King%2520(3).jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8d578bd376655789e9_672f1450c4a21d1a5d971766_DreamFit%2520Cooling%2520Bamboo%2520Sheets%2520King%2520(2).jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8d578bd376655789e5_672f1450591a6cf83e8375e5_DreamFit%2520Cooling%2520Bamboo%2520Sheets%2520King%2520(1).jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8d578bd376655789c3_672f1450c4a21d1a5d971763_DreamFit%2520Cooling%2520Bamboo%2520Sheets%2520King.jpeg,dreamfit,bamboo; cooling-on-amazon; best-on-amazon; hot-sleepers-on-amazon; hot-sleepers; deep-pocket; soft,"Cooling effect, deep pockets, elastic corner straps","Higher price point, limited size options",Bamboo,Very High,$299.99,Excellent,Not specified,High,4.3/5,"Twin, Full, Queen, King",Machine wash in cold water; tumble dry low,4,Sateen,Yes,High,30-day return policy,Very Good,8.5,8.5,8.5,8.5,8.5,TRUE,Cooling bamboo sheets with elastic corner straps,,,269,,https://www.amazon.com/DreamFit-Degree-Bamboo-Rayon-Blend/dp/B00WL6Y6PG?th=1&linkCode=ll1&tag=aehp-20&linkId=341b1260d42750eb553f080d39bbf88e&language=en_US&ref_=as_li_ss_tl,Cal King,,,,
DreamCool 100% Egyptian Cotton Cooling Bed Sheet Set,dreamcool-100-egyptian-cotton-cooling-bed-sheet-set,6694b4a02ed4cdd356d1fd3c,66731949b7eeafbfe3fa8c36,672f104d5acb5e5a27b2e9f7,FALSE,FALSE,Sat Nov 09 2024 07:33:33 GMT+0000 (Coordinated Universal Time),Fri Dec 13 2024 11:08:22 GMT+0000 (Coordinated Universal Time),Fri Dec 13 2024 11:08:22 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8dd96e46f78385cf4b_672f141e6e7065c249819525_DreamFit%2520Cooling%2520Bed%2520Sheet%2520Set%2520White.jpeg,https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8dd96e46f78385cf3f_672f142609fe44d51630664a_DreamFit%2520Cooling%2520Bed%2520Sheet%2520Set%2520White%2520(4).jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8dd96e46f78385cf69_672f1426996ace842c65ec49_DreamFit%2520Cooling%2520Bed%2520Sheet%2520Set%2520White%2520(3).jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8dd96e46f78385cf53_672f1426fee33aecc2c6f075_DreamFit%2520Cooling%2520Bed%2520Sheet%2520Set%2520White%2520(2).jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8dd96e46f78385cf4f_672f142679488d86e2ebbf25_DreamFit%2520Cooling%2520Bed%2520Sheet%2520Set%2520White%2520(1).jpeg; https://cdn.prod.website-files.com/66731949b7eeafbfe3fa8c49/673c7b8dd96e46f78385cf4b_672f141e6e7065c249819525_DreamFit%2520Cooling%2520Bed%2520Sheet%2520Set%2520White.jpeg,dreamfit,egyptian-cotton; hot-sleepers,"Cooling effect, deep pockets, elastic corner straps","Higher price point, limited color options",Egyptian Cotton,Very High,$279.99,Excellent,Not specified,High,4.2/5,"Twin, Full, Queen, King",Machine wash in cold water; tumble dry low,4,Sateen,Yes,High,30-day return policy,Very Good,8.5,8.5,8.5,8.5,8.5,TRUE,Cooling Egyptian cotton sheets with deep pockets,,,249,,https://www.amazon.com/DreamFit-4-Degree-Preferred-100-Percent-Egyptian/dp/B0057RJ1F6?th=1&linkCode=ll1&tag=aehp-20&linkId=0b00fc6fbdf15633f0e8e824dbe0c85e&language=en_US&ref_=as_li_ss_tl,,,,,
